WO_ID,Date,Equipment_Tag,Type,Problem_Text,Action_Text,Technician,Downtime_Hrs,Status
WO-1468,2021-07-02,P-101B,preventive,gland leak minor,"tightnd gland, ok",K. Menon,3,closed
WO-1360,2021-07-07,FV-112,preventive,positioner drift,recalib positioner,M. Das,1,closed
WO-1476,2021-07-18,V-201,preventive,spares availability chk,verified in store,N. Rao,2,closed
WO-1350,2021-07-24,PT-108,preventive,spares availability chk,verified in store,P. Nair,6,closed
WO-1180,2021-07-29,PT-108,preventive,tag/label refresh,relabelled,P. Nair,1,closed
WO-1191,2021-08-13,E-301,preventive,spares availability chk,verified in store,R. Sharma,6,closed
WO-1435,2021-08-16,P-101B,preventive,lube top-up,"greased, ok",V. Reddy,1,closed
WO-1506,2021-08-18,V-201,preventive,tag/label refresh,relabelled,M. Das,6,closed
WO-1182,2021-08-21,P-101B,preventive,housekeeping round,area cleaned,N. Rao,6,closed
WO-1530,2021-08-23,PT-108,preventive,cln unit exterior,cleaned,V. Reddy,3,closed
WO-1424,2021-08-25,V-201,preventive,condition monitoring reading,"reading normal, filed",J. Patel,3,closed
WO-1019,2021-09-04,PT-108,preventive,xmtr reading drift,recalib xmtr,V. Reddy,8,closed
WO-1175,2021-09-07,P-101A,preventive,housekeeping round,area cleaned,N. Rao,6,closed
WO-1369,2021-09-07,E-301,preventive,spares availability chk,verified in store,J. Patel,0,closed
WO-1597,2021-09-11,FV-112,preventive,positioner drift,recalib positioner,N. Rao,3,closed
WO-1157,2021-09-14,T-401,preventive,routine insp,no abnrml found,S. Iyer,6,closed
WO-1137,2021-09-20,C-501,preventive,spares availability chk,verified in store,K. Menon,6,closed
WO-1063,2021-09-24,P-101A,preventive,gland leak minor,"tightnd gland, ok",P. Nair,6,closed
WO-1509,2021-09-28,V-201,preventive,lube top-up,"greased, ok",M. Das,8,closed
WO-1015,2021-10-02,PT-108,preventive,lube top-up,"greased, ok",M. Das,4,closed
WO-1385,2021-10-02,PT-108,preventive,abnrml reading susp,"chkd, recalib",N. Rao,3,closed
WO-1308,2021-10-12,C-501,preventive,lube top-up,"greased, ok",P. Nair,8,closed
WO-1312,2021-10-12,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",P. Nair,12,closed
WO-1125,2021-10-14,C-501,preventive,cln unit exterior,cleaned,P. Nair,12,closed
WO-1101,2021-10-15,P-101B,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,3,closed
WO-1221,2021-10-21,P-101A,preventive,spares availability chk,verified in store,R. Sharma,3,closed
WO-1496,2021-10-22,C-501,preventive,paint touch-up,done,J. Patel,2,closed
WO-1536,2021-10-24,V-201,preventive,lube top-up,"greased, ok",M. Das,3,closed
WO-1595,2021-10-25,V-201,preventive,6-monthly insp,"insp ok, within limit",N. Rao,8,closed
WO-1459,2021-10-30,P-101B,preventive,tag/label refresh,relabelled,P. Nair,2,closed
WO-1392,2021-11-01,E-301,preventive,paint touch-up,done,N. Rao,12,closed
WO-1199,2021-11-02,C-501,preventive,routine pm as per schedule,"completed, no abnrml found",J. Patel,8,closed
WO-1511,2021-11-05,T-401,preventive,spares availability chk,verified in store,K. Menon,2,closed
WO-1271,2021-11-07,C-501,preventive,cln unit exterior,cleaned,J. Patel,0,closed
WO-1593,2021-11-08,FV-112,preventive,housekeeping round,area cleaned,V. Reddy,4,closed
WO-1201,2021-11-12,P-101B,preventive,cln unit exterior,cleaned,S. Iyer,4,closed
WO-1293,2021-11-12,V-201,preventive,lube top-up,"greased, ok",P. Nair,8,closed
WO-1581,2021-11-12,P-101A,preventive,cln unit exterior,cleaned,P. Nair,8,closed
WO-1001,2021-11-15,P-101A,corrective,"brg noise p101a hi vib, excsv vibn DE end","monitored, vibn trending up, seel chk advised",R. Sharma,4,closed
WO-1234,2021-11-17,PT-108,preventive,abnrml reading susp,"chkd, recalib",J. Patel,12,closed
WO-1391,2021-11-17,P-101A,preventive,6-monthly insp,"insp ok, within limit",S. Iyer,0,closed
WO-1049,2021-11-18,P-101A,corrective,"brg noise, minor vib","lubd brg, chkd algn",N. Rao,1,closed
